# u, v, x, y, z
297,174,9.767000198364258,1.1720000505447388,0.3160000145435333
294,244,9.72700023651123,1.2589999437332153,-1.1019999980926514
241,165,8.64900016784668,1.7899999618530273,0.4950000047683716
238,248,8.673999786376953,1.9110000133514404,-1.055999994277954
173,155,7.40500020980835,2.5399999618530273,0.6050000190734863
168,250,7.324999809265137,2.6579999923706055,-0.8389999866485596
378,166,9.222000122070312,-0.8510000109672546,0.4189999997615814
379,286,9.050999641418457,-0.7590000033378601,-1.8370000123977661
404,164,8.930999755859375,-1.1770000457763672,0.6769999861717224
404,289,8.78600025177002,-1.1510000228881836,-1.7719999551773071
431,160,8.567999839782715,-1.6130000352859497,0.5059999823570251
430,294,8.295999526977539,-1.4160000085830688,-1.7890000343322754
461,156,8.241000175476074,-1.9630000591278076,0.5659999847412109
457,298,8.112000465393066,-1.9129999876022339,-1.6330000162124634
491,156,7.859000205993652,-2.3980000019073486,0.5830000042915344
488,301,7.704999923706055,-2.3350000381469727,-1.6579999923706055
522,151,7.440999984741211,-2.8010001182556152,0.6620000004768372
526,308,7.381999969482422,-2.7079999446868896,-1.7050000429153442
567,143,7.107999801635742,-3.194000005722046,0.6740000247955322
566,317,6.978000164031982,-3.1640000343322754,-1.6430000066757202
54,55,7.341000080108643,4.27400016784668,1.7769999504089355
55,58,7.618000030517578,4.306000232696533,1.722000002861023
63,170,7.570000171661377,4.324999809265137,0.3059999942779541
94,45,6.849999904632568,3.2929999828338623,2.1010000705718994
104,170,6.86299991607666,3.259999990463257,0.15800000727176666
166,23,5.908999919891357,1.9639999866485596,1.687999963760376
173,165,5.947999954223633,2.003999948501587,0.2540000081062317
240,2,5.0970001220703125,0.878000020980835,1.7029999494552612
248,162,5.177999973297119,0.8600000143051147,0.1469999998807907
446,72,4.263000011444092,-0.9520000219345093,1.5019999742507935
451,219,4.348999977111816,-0.9990000128746033,0.029999999329447746
56,59,7.6020002365112305,4.210999965667725,2.259999990463257
62,171,7.466000080108643,4.2129998207092285,0.328000009059906
100,46,6.73799991607666,3.2950000762939453,2.2119998931884766
105,169,6.855000019073486,3.299999952316284,0.18700000643730164
164,19,5.908999919891357,1.8980000019073486,2.052000045776367
169,174,5.89900016784668,1.8890000581741333,0.10599999874830246
235,8,5.3429999351501465,0.7099999785423279,2.058000087738037
249,166,5.190999984741211,0.824999988079071,0.14399999380111694
440,80,5.24399995803833,-1.2039999961853027,1.3589999675750732
448,219,4.993000030517578,-1.2170000076293945,-0.17900000512599945
596,54,4.9120001792907715,-2.694999933242798,1.350000023841858
598,206,4.454999923706055,-2.496000051498413,-0.19499999284744263
52,32,4.446000099182129,2.740000009536743,1.5390000343322754
52,175,4.440000057220459,2.7209999561309814,-0.08699999749660492
119,22,3.864000082015991,1.8990000486373901,1.49399995803833
123,174,3.9070000648498535,1.8580000400543213,-0.1509999930858612
266,91,5.420000076293945,0.7200000286102295,1.1490000486373901
272,233,5.559000015258789,0.746999979019165,-0.36000001430511475
400,88,5.550000190734863,-0.6899999976158142,1.1710000038146973
402,219,5.671999931335449,-0.7360000014305115,-0.3409999907016754
536,83,5.934000015258789,-2.061000108718872,1.1640000343322754
533,217,5.421000003814697,-2.1410000324249268,-0.3140000104904175
31,98,4.705999851226807,2.924999952316284,0.9350000023841858
37,261,4.869999885559082,3.0399999618530273,-0.5189999938011169
189,99,5.394000053405762,1.6619999408721924,0.9559999704360962
191,237,5.455999851226807,1.5989999771118164,-0.46399998664855957
313,105,6.078000068664551,0.3050000071525574,0.9940000176429749
315,225,6.077000141143799,0.15199999511241913,-0.4410000145435333
420,109,6.702000141143799,-1.1640000343322754,1.0889999866485596
420,216,6.685999870300293,-1.2410000562667847,-0.38199999928474426
508,108,7.308000087738037,-2.61299991607666,1.1610000133514404
511,207,7.35099983215332,-2.61899995803833,-0.2630000114440918
587,112,7.814000129699707,-4.031000137329102,1.24399995803833
588,204,7.859000205993652,-4.111999988555908,-0.164000004529953
31,100,4.74399995803833,3.13100004196167,0.9549999833106995
31,252,4.697000026702881,3.117000102996826,-0.5540000200271606
181,110,5.954999923706055,2.1489999294281006,0.9509999752044678
178,236,5.458000183105469,1.4809999465942383,-0.6209999918937683
287,118,6.795000076293945,0.6990000009536743,0.9440000057220459
286,228,6.815000057220459,0.6340000033378601,-0.3310000002384186
369,126,7.7870001792907715,-0.4560000002384186,0.9150000214576721
366,223,7.788000106811523,-0.40299999713897705,-0.421999990940094
434,135,8.642000198364258,-1.784999966621399,0.9739999771118164
